word,sent_num,pos
are,6,VBP
certain,6,JJ
generous,6,JJ
critics,6,NNS
who,6,WP
have,6,VBP
encouraged,6,VBN
me,6,PRP
as,6,IN
only,6,RB
large-hearted,6,JJ
and,6,CC
high-minded,6,JJ
men,6,NNS
know,6,VB
how,6,WRB
to,6,TO
encourage,6,VB
a,6,DT
struggling,6,VBG
stranger,6,NN
;,6,:
to,6,TO
them,6,PRP
",",6,","
_i.e._,6,RB
",",6,","
to,6,TO
my,6,PRP$
Publishers,6,NNS
and,6,CC
the,6,DT
select,6,JJ
Reviewers,6,NNP
",",6,","
I,6,PRP
say,6,VBP
cordially,6,RB
",",6,","
Gentlemen,6,NNP
",",6,","
I,6,PRP
thank,6,VBP
you,6,PRP
from,6,IN
my,6,PRP$
heart,6,NN
.,6,.
Having,7,VBG
thus,7,RB
acknowledged,7,VBD
what,7,WP
I,7,PRP
owe,7,VBP
those,7,DT
who,7,WP
have,7,VBP
aided,7,VBN
and,7,CC
approved,7,VBD
me,7,PRP
",",7,","
I,7,PRP
turn,7,VBP
to,7,TO
another,7,DT
class,7,NN
;,7,:
a,7,DT
small,7,JJ
one,7,CD
",",7,","
so,7,RB
far,7,RB
as,7,IN
I,7,PRP
know,7,VBP
",",7,","
but,7,CC
not,7,RB
",",7,","
therefore,7,RB
",",7,","
to,7,TO
be,7,VB
overlooked,7,VBN
.,7,.
I,8,PRP
mean,8,VBP
the,8,DT
timorous,8,JJ
or,8,CC
carping,8,VBG
few,8,JJ
who,8,WP
doubt,8,VBP
the,8,DT
tendency,8,NN
of,8,IN
such,8,JJ
books,8,NNS
as,8,IN
``,8,``
Jane,8,NNP
Eyre,8,NN
:,8,:
'',8,''
in,8,IN
whose,8,WP$
eyes,8,NNS
whatever,8,WDT
is,8,VBZ
unusual,8,JJ
is,8,VBZ
wrong,8,JJ
;,8,:
whose,8,WP$
ears,8,NNS
detect,8,VBP
in,8,IN
each,8,DT
protest,8,NN
against,8,IN
bigotry,8,NN
--,8,:
that,8,IN
parent,8,NN
of,8,IN
crime,8,NN
--,8,:
an,8,DT
insult,8,NN
to,8,TO
piety,8,NN
",",8,","
that,8,DT
regent,8,NN
of,8,IN
God,8,NNP
on,8,IN
earth,8,NN
.,8,.
I,9,PRP
would,9,MD
suggest,9,VB
to,9,TO
such,9,JJ
doubters,9,NNS
certain,9,JJ
obvious,9,JJ
distinctions,9,NNS
;,9,:
I,9,PRP
would,9,MD
remind,9,VB
them,9,PRP
of,9,IN
certain,9,JJ
simple,9,JJ
truths,9,NNS
.,9,.
Conventionality,10,NN
is,10,VBZ
not,10,RB
morality,10,NN
.,10,.
Self-righteousness,11,NN
is,11,VBZ
not,11,RB
religion,11,NN
.,11,.
To,12,TO
attack,12,VB
the,12,DT
first,12,JJ
is,12,VBZ
not,12,RB
to,12,TO
assail,12,VB
the,12,DT
last,12,JJ
.,12,.
To,13,TO
pluck,13,VB
the,13,DT
mask,13,NN
from,13,IN
the,13,DT
face,13,NN
of,13,IN
the,13,DT
Pharisee,13,NNP
",",13,","
is,13,VBZ
not,13,RB
to,13,TO
lift,13,VB
an,13,DT
impious,13,JJ
hand,13,NN
to,13,TO
the,13,DT
Crown,13,NNP
of,13,IN
Thorns,13,NNP
.,13,.
These,14,DT
things,14,NNS
and,14,CC
deeds,14,NNS
are,14,VBP
diametrically,14,RB
opposed,14,VBN
:,14,:
they,14,PRP
are,14,VBP
as,14,RB
distinct,14,JJ
as,14,IN
is,14,VBZ
vice,14,NN
from,14,IN
virtue,14,NN
.,14,.
Men,15,NNP
too,15,RB
often,15,RB
confound,15,VBZ
them,15,PRP
:,15,:
they,15,PRP
should,15,MD
not,15,RB
be,15,VB
confounded,15,VBN
:,15,:
appearance,15,NN
should,15,MD
not,15,RB
be,15,VB
mistaken,15,VBN
for,15,IN
truth,15,NN
;,15,:
narrow,15,JJ
human,15,JJ
doctrines,15,NNS
",",15,","
that,15,IN
only,15,RB
tend,15,VB
to,15,TO
elate,15,VB
and,15,CC
magnify,15,VB
a,15,DT
few,15,JJ
",",15,","
should,15,MD
not,15,RB
be,15,VB
substituted,15,VBN
for,15,IN
the,15,DT
world-redeeming,15,JJ
creed,15,NN
of,15,IN
Christ,15,NNP
.,15,.
There,16,EX
is,16,VBZ
--,16,:
I,16,PRP
repeat,16,VBP
it,16,PRP
--,16,:
a,16,DT
difference,16,NN
;,16,:
and,16,CC
it,16,PRP
is,16,VBZ
a,16,DT
good,16,JJ
",",16,","
and,16,CC
not,16,RB
a,16,DT
bad,16,JJ
action,16,NN
to,16,TO
mark,16,VB
broadly,16,RB
and,16,CC
clearly,16,RB
the,16,DT
line,16,NN
of,16,IN
separation,16,NN
between,16,IN
them,16,PRP
.,16,.
The,17,DT
world,17,NN
may,17,MD
not,17,RB
like,17,VB
to,17,TO
see,17,VB
these,17,DT
ideas,17,NNS
dissevered,17,VBD
",",17,","
for,17,IN
it,17,PRP
has,17,VBZ
been,17,VBN
accustomed,17,VBN
to,17,TO
blend,17,VB
them,17,PRP
;,17,:
finding,17,VBG
it,17,PRP
convenient,17,JJ
to,17,TO
make,17,VB
external,17,JJ
show,17,NN
pass,17,NN
for,17,IN
sterling,17,NN
worth,17,NN
--,17,:
to,17,TO
let,17,VB
white-washed,17,JJ
walls,17,NNS
vouch,17,JJ
for,17,IN
clean,17,JJ
shrines,17,NNS
.,17,.
It,18,PRP
may,18,MD
hate,18,VB
him,18,PRP
who,18,WP
dares,18,VBZ
to,18,TO
scrutinise,18,VB
and,18,CC
expose,18,VB
--,18,:
to,18,TO
rase,18,VB
the,18,DT
gilding,18,NN
",",18,","
and,18,CC
show,18,VB
base,18,JJ
metal,18,NN
under,18,IN
it,18,PRP
--,18,:
to,18,TO
penetrate,18,VB
the,18,DT
sepulchre,18,NN
",",18,","
and,18,CC
reveal,18,VB
charnel,18,NNS
relics,18,NNS
:,18,:
but,18,CC
hate,18,VBP
as,18,IN
it,18,PRP
will,18,MD
",",18,","
it,18,PRP
is,18,VBZ
indebted,18,VBN
to,18,TO
him,18,PRP
.,18,.
Ahab,19,NNP
did,19,VBD
not,19,RB
like,19,IN
Micaiah,19,NNP
",",19,","
because,19,IN
he,19,PRP
never,19,RB
prophesied,19,VBD
good,19,JJ
concerning,19,VBG
him,19,PRP
",",19,","
but,19,CC
evil,19,RB
;,19,:
probably,19,RB
he,19,PRP
liked,19,VBD
the,19,DT
sycophant,19,JJ
son,19,NN
of,19,IN
Chenaannah,19,NNP
better,19,NN
;,19,:
yet,19,CC
might,19,MD
Ahab,19,NNPS
have,19,VB
escaped,19,VBN
a,19,DT
bloody,19,JJ
death,19,NN
",",19,","
had,19,VBD
he,19,PRP
but,19,CC
stopped,19,VBD
his,19,PRP$
ears,19,NNS
to,19,TO
flattery,19,VB
",",19,","
and,19,CC
opened,19,VBD
them,19,PRP
to,19,TO
faithful,19,JJ
counsel,19,NN
.,19,.
There,20,EX
is,20,VBZ
a,20,DT
man,20,NN
in,20,IN
our,20,PRP$
own,20,JJ
days,20,NNS
whose,20,WP$
words,20,NNS
are,20,VBP
not,20,RB
framed,20,VBN
to,20,TO
tickle,20,VB
delicate,20,JJ
ears,20,NNS
:,20,:
who,20,WP
",",20,","
to,20,TO
my,20,PRP$
thinking,20,NN
",",20,","
comes,20,VBZ
before,20,IN
the,20,DT
great,20,JJ
ones,20,NNS
of,20,IN
society,20,NN
",",20,","
much,20,RB
as,20,IN
the,20,DT
son,20,NN
of,20,IN
Imlah,20,NNP
came,20,VBD
before,20,IN
the,20,DT
throned,20,JJ
Kings,20,NNP
of,20,IN
Judah,20,NNP
and,20,CC
Israel,20,NNP
;,20,:
and,20,CC
who,20,WP
speaks,20,VBP
truth,20,NN
as,20,IN
deep,20,JJ
",",20,","
with,20,IN
a,20,DT
power,20,NN
as,20,IN
prophet-like,20,JJ
and,20,CC
as,20,IN
vital,20,JJ
--,20,:
a,20,DT
mien,20,NN
as,20,IN
dauntless,20,NN
and,20,CC
as,20,IN
daring,20,NN
.,20,.
Is,21,VBZ
the,21,DT
satirist,21,NN
of,21,IN
'',21,''
Vanity,21,NNP
Fair,21,NNP
'',21,''
admired,21,VBN
in,21,IN
high,21,JJ
places,21,NNS
?,21,.
I,22,PRP
can,22,MD
not,22,RB
tell,22,VB
;,22,:
but,22,CC
I,22,PRP
think,22,VBP
if,22,IN
some,22,DT
of,22,IN
those,22,DT
amongst,22,JJ
whom,22,WP
he,22,PRP
hurls,22,VBD
the,22,DT
Greek,22,JJ
fire,22,NN
of,22,IN
his,22,PRP$
sarcasm,22,NN
",",22,","
and,22,CC
over,22,RB
whom,22,WP
he,22,PRP
flashes,22,VBZ
the,22,DT
levin-brand,22,NN
of,22,IN
his,22,PRP$
denunciation,22,NN
",",22,","
were,22,VBD
to,22,TO
take,22,VB
his,22,PRP$
warnings,22,NNS
in,22,IN
time,22,NN
--,22,:
they,22,PRP
or,22,CC
their,22,PRP$
seed,22,NN
might,22,MD
yet,22,RB
escape,22,VB
a,22,DT
fatal,22,JJ
Rimoth-Gilead,22,NN
.,22,.
Why,23,WRB
have,23,VBP
I,23,PRP
alluded,23,VBN
to,23,TO
this,23,DT
man,23,NN
?,23,.
I,24,PRP
have,24,VBP
alluded,24,VBN
to,24,TO
him,24,PRP
",",24,","
Reader,24,NNP
",",24,","
because,24,IN
I,24,PRP
think,24,VBP
I,24,PRP
see,24,VBP
in,24,IN
him,24,PRP
an,24,DT
intellect,24,NN
profounder,24,NN
and,24,CC
more,24,JJR
unique,24,JJ
than,24,IN
his,24,PRP$
contemporaries,24,NNS
have,24,VBP
yet,24,RB
recognised,24,VBN
;,24,:
because,24,IN
I,24,PRP
regard,24,VBP
him,24,PRP
as,24,IN
the,24,DT
first,24,JJ
social,24,JJ
regenerator,24,NN
of,24,IN
the,24,DT
day,24,NN
--,24,:
as,24,IN
the,24,DT
very,24,RB
master,24,NN
of,24,IN
that,24,DT
working,24,VBG
corps,24,NN
who,24,WP
would,24,MD
restore,24,VB
to,24,TO
rectitude,24,VB
the,24,DT
warped,24,JJ
system,24,NN
of,24,IN
things,24,NNS
;,24,:
because,24,IN
I,24,PRP
think,24,VBP
no,24,DT
commentator,24,NN
on,24,IN
his,24,PRP$
writings,24,NNS
has,24,VBZ
yet,24,RB
found,24,VBN
the,24,DT
comparison,24,NN
that,24,WDT
suits,24,NNS
him,24,PRP
",",24,","
the,24,DT
terms,24,NNS
which,24,WDT
rightly,24,RB
characterise,24,VBZ
his,24,PRP$
talent,24,NN
.,24,.
They,25,PRP
say,25,VBP
he,25,PRP
is,25,VBZ
like,25,IN
Fielding,25,VBG
:,25,:
they,25,PRP
talk,25,VBP
of,25,IN
his,25,PRP$
wit,25,NN
",",25,","
humour,25,NN
",",25,","
comic,25,JJ
powers,25,NNS
.,25,.
He,26,PRP
resembles,26,VBZ
Fielding,26,VBG
as,26,IN
an,26,DT
eagle,26,NN
does,26,VBZ
a,26,DT
vulture,26,NN
:,26,:
Fielding,26,NN
could,26,MD
stoop,26,VB
on,26,IN
carrion,26,NN
",",26,","
but,26,CC
Thackeray,26,NNP
never,26,RB
does,26,VBZ
.,26,.
His,27,PRP$
wit,27,NN
is,27,VBZ
bright,27,JJ
",",27,","
his,27,PRP$
humour,27,NN
attractive,27,JJ
",",27,","
but,27,CC
both,27,DT
bear,27,VBP
the,27,DT
same,27,JJ
relation,27,NN
to,27,TO
his,27,PRP$
serious,27,JJ
genius,27,NN
that,27,IN
the,27,DT
mere,27,JJ
lambent,27,JJ
sheet-lightning,27,JJ
playing,27,NN
under,27,IN
the,27,DT
edge,27,NN
of,27,IN
the,27,DT
summer-,27,JJ
cloud,27,NN
does,27,VBZ
to,27,TO
the,27,DT
electric,27,JJ
death-spark,27,NN
hid,27,NN
in,27,IN
its,27,PRP$
womb,27,NN
.,27,.
Finally,28,RB
",",28,","
I,28,PRP
have,28,VBP
alluded,28,VBN
to,28,TO
Mr.,28,NNP
Thackeray,28,NNP
",",28,","
because,28,IN
to,28,TO
him,28,PRP
--,28,:
if,28,IN
he,28,PRP
will,28,MD
accept,28,VB
the,28,DT
tribute,28,NN
of,28,IN
a,28,DT
total,28,JJ
stranger,28,NN
--,28,:
I,28,PRP
have,28,VBP
dedicated,28,VBN
this,28,DT
second,28,JJ
edition,28,NN
of,28,IN
``,28,``
JANE,28,NNP
EYRE,28,NNP
.,28,.
'',28,''
CURRER,29,NNP
BELL,29,NNP
.,29,.
_December_,30,RB
21_st_,30,CD
",",30,","
1847,30,CD
.,30,.
NOTE,31,NN
TO,31,NNP
THE,31,NNP
THIRD,31,NNP
EDITION,31,NNP
I,31,PRP
avail,31,VBP
myself,31,PRP
of,31,IN
the,31,DT
opportunity,31,NN
which,31,WDT
a,31,DT
third,31,JJ
edition,31,NN
of,31,IN
``,31,``
Jane,31,NNP
Eyre,31,NNP
'',31,''
affords,31,IN
me,31,PRP
",",31,","
of,31,IN
again,31,RB
addressing,31,VBG
a,31,DT
word,31,NN
to,31,TO
the,31,DT
Public,31,NNP
",",31,","
to,31,TO
explain,31,VB
that,31,IN
my,31,PRP$
claim,31,NN
to,31,TO
the,31,DT
title,31,NN
of,31,IN
novelist,31,JJ
rests,31,NNS
on,31,IN
this,31,DT
one,31,CD
work,31,NN
alone,31,RB
.,31,.
If,32,IN
",",32,","
therefore,32,RB
",",32,","
the,32,DT
authorship,32,NN
of,32,IN
other,32,JJ
works,32,NNS
of,32,IN
fiction,32,NN
has,32,VBZ
been,32,VBN
attributed,32,VBN
to,32,TO
me,32,PRP
",",32,","
an,32,DT
honour,32,NN
is,32,VBZ
awarded,32,VBN
where,32,WRB
it,32,PRP
is,32,VBZ
not,32,RB
merited,32,VBN
;,32,:
and,32,CC
consequently,32,RB
",",32,","
denied,32,VBD
where,32,WRB
it,32,PRP
is,32,VBZ
justly,32,RB
due,32,JJ
.,32,.
This,33,DT
explanation,33,NN
will,33,MD
serve,33,VB
to,33,TO
rectify,33,VB
mistakes,33,NNS
which,33,WDT
may,33,MD
already,33,RB
have,33,VB
been,33,VBN
made,33,VBN
",",33,","
and,33,CC
to,33,TO
prevent,33,VB
future,33,JJ
errors,33,NNS
.,33,.
CURRER,34,NNP
BELL,34,NNP
.,34,.
_April_,35,RB
13_th_,35,CD
",",35,","
1848,35,CD
.,35,.
CHAPTER,36,NN
I,36,PRP
There,36,EX
was,36,VBD
no,36,DT
possibility,36,NN
of,36,IN
taking,36,VBG
a,36,DT
walk,36,NN
that,36,IN
day,36,NN
.,36,.
We,37,PRP
had,37,VBD
been,37,VBN
wandering,37,VBG
",",37,","
indeed,37,RB
",",37,","
in,37,IN
the,37,DT
leafless,37,NN
shrubbery,37,VBD
an,37,DT
hour,37,NN
in,37,IN
the,37,DT
morning,37,NN
;,37,:
but,37,CC
since,37,IN
dinner,37,NN
(,37,(
Mrs.,37,NNP
Reed,37,NNP
",",37,","
when,37,WRB
there,37,EX
was,37,VBD
no,37,DT
company,37,NN
",",37,","
dined,37,VBD
early,37,RB
),37,)
the,37,DT
cold,37,JJ
winter,37,NN
wind,37,NN
had,37,VBD
brought,37,VBN
with,37,IN
it,37,PRP
clouds,37,VBZ
so,37,RB
sombre,37,JJ
",",37,","
and,37,CC
a,37,DT
rain,37,NN
so,37,RB
penetrating,37,JJ
",",37,","
that,37,IN
further,37,JJ
out-door,37,JJ
exercise,37,NN
was,37,VBD
now,37,RB
out,37,IN
of,37,IN
the,37,DT
question,37,NN
.,37,.
I,38,PRP
was,38,VBD
glad,38,NN
of,38,IN
it,38,PRP
:,38,:
I,38,PRP
never,38,RB
liked,38,VBD
long,38,JJ
walks,38,NNS
",",38,","
especially,38,RB
on,38,IN
chilly,38,JJ
afternoons,38,NNS
:,38,:
dreadful,38,NN
to,38,TO
me,38,PRP
was,38,VBD
the,38,DT
coming,38,VBG
home,38,NN
in,38,IN
the,38,DT
raw,38,JJ
twilight,38,NN
",",38,","
with,38,IN
nipped,38,JJ
fingers,38,NNS
and,38,CC
toes,38,NNS
",",38,","
and,38,CC
a,38,DT
heart,38,NN
saddened,38,VBN
by,38,IN
the,38,DT
chidings,38,NNS
of,38,IN
Bessie,38,NNP
",",38,","
the,38,DT
nurse,38,NN
",",38,","
and,38,CC
humbled,38,VBN
by,38,IN
the,38,DT
consciousness,38,NN
of,38,IN
my,38,PRP$
physical,38,JJ
inferiority,38,NN
to,38,TO
Eliza,38,NNP
",",38,","
John,38,NNP
",",38,","
and,38,CC
Georgiana,38,NNP
Reed,38,NNP
.,38,.
The,39,DT
said,39,VBD
Eliza,39,NNP
",",39,","
John,39,NNP
",",39,","
and,39,CC
Georgiana,39,NNP
were,39,VBD
now,39,RB
clustered,39,VBN
round,39,RP
their,39,PRP$
mama,39,NN
in,39,IN
the,39,DT
drawing-room,39,NN
:,39,:
she,39,PRP
lay,39,VBD
reclined,39,VBN
on,39,IN
a,39,DT
sofa,39,NN
by,39,IN
the,39,DT
fireside,39,NN
",",39,","
and,39,CC
with,39,IN
her,39,PRP$
darlings,39,NNS
about,39,IN
her,39,PRP$
(,39,(
for,39,IN
the,39,DT
time,39,NN
neither,39,CC
quarrelling,39,VBG
nor,39,CC
crying,39,VBG
),39,)
looked,39,VBD
perfectly,39,RB
happy,39,JJ
.,39,.
Me,40,NN
",",40,","
she,40,PRP
had,40,VBD
dispensed,40,VBN
from,40,IN
joining,40,VBG
the,40,DT
group,40,NN
;,40,:
saying,40,VBG
",",40,","
``,40,``
She,40,PRP
regretted,40,VBD
to,40,TO
be,40,VB
under,40,IN
the,40,DT
necessity,40,NN
of,40,IN
keeping,40,VBG
me,40,PRP
at,40,IN
a,40,DT
distance,40,NN
;,40,:
but,40,CC
that,40,IN
until,40,IN
she,40,PRP
heard,40,VBD
from,40,IN
Bessie,40,NNP
",",40,","
and,40,CC
could,40,MD
discover,40,VB
by,40,IN
her,40,PRP$
own,40,JJ
observation,40,NN
",",40,","
that,40,IN
I,40,PRP
was,40,VBD
endeavouring,40,VBG
in,40,IN
good,40,JJ
earnest,40,NN
to,40,TO
acquire,40,VB
a,40,DT
more,40,RBR
sociable,40,JJ
and,40,CC
childlike,40,JJ
disposition,40,NN
",",40,","
a,40,DT
more,40,RBR
attractive,40,JJ
and,40,CC
sprightly,40,JJ
manner,40,NN
--,40,:
something,40,NN
lighter,40,NN
",",40,","
franker,40,NN
",",40,","
more,40,RBR
natural,40,JJ
",",40,","
as,40,IN
it,40,PRP
were,40,VBD
--,40,:
she,40,PRP
really,40,RB
must,40,MD
exclude,40,VB
me,40,PRP
from,40,IN
privileges,40,NNS
intended,40,VBN
only,40,RB
for,40,IN
contented,40,VBN
",",40,","
happy,40,JJ
",",40,","
little,40,JJ
children,40,NNS
.,40,.
'',40,''
``,41,``
What,41,WP
does,41,VBZ
Bessie,41,NNP
say,41,VBP
I,41,PRP
have,41,VBP
done,41,VBN
?,41,.
'',41,''
I,42,PRP
asked,42,VBD
.,42,.
``,43,``
Jane,43,NNP
",",43,","
I,43,PRP
do,43,VBP
n't,43,RB
like,43,VB
cavillers,43,NNS
or,43,CC
questioners,43,NNS
;,43,:
besides,43,NNS
",",43,","
there,43,EX
is,43,VBZ
something,43,NN
truly,43,RB
forbidding,43,VBG
in,43,IN
a,43,DT
child,43,NN
taking,43,VBG
up,43,RP
her,43,PRP$
elders,43,NNS
in,43,IN
that,43,DT
manner,43,NN
.,43,.
Be,44,NNP
seated,44,VBN
somewhere,44,RB
;,44,:
and,44,CC
until,44,IN
you,44,PRP
can,44,MD
speak,44,VB
pleasantly,44,RB
",",44,","
remain,44,VBP
silent,44,JJ
.,44,.
'',44,''
A,45,DT
breakfast-room,45,NN
adjoined,45,VBD
the,45,DT
drawing-room,45,NN
",",45,","
I,45,PRP
slipped,45,VBD
in,45,IN
there,45,RB
.,45,.
It,46,PRP
contained,46,VBD
a,46,DT
bookcase,46,NN
:,46,:
I,46,PRP
soon,46,RB
possessed,46,VBD
myself,46,PRP
of,46,IN
a,46,DT
volume,46,NN
",",46,","
taking,46,VBG
care,46,NN
that,46,IN
it,46,PRP
should,46,MD
be,46,VB
one,46,CD
stored,46,VBN
with,46,IN
pictures,46,NNS
.,46,.
I,47,PRP
mounted,47,VBD
into,47,IN
the,47,DT
window-,47,JJ
seat,47,NN
:,47,:
gathering,47,NN
up,47,RP
my,47,PRP$
feet,47,NNS
",",47,","
I,47,PRP
sat,47,VBD
cross-legged,47,JJ
",",47,","
like,47,IN
a,47,DT
Turk,47,NNP
;,47,:
and,47,CC
",",47,","
having,47,VBG
drawn,47,VBN
the,47,DT
red,47,JJ
moreen,47,NN
curtain,47,VBP
nearly,47,RB
close,47,RB
",",47,","
I,47,PRP
was,47,VBD
shrined,47,VBN
in,47,IN
double,47,JJ
retirement,47,NN
.,47,.
Folds,48,NNS
of,48,IN
scarlet,48,NN
drapery,48,NN
shut,48,NN
in,48,IN
my,48,PRP$
view,48,NN
to,48,TO
the,48,DT
right,48,JJ
hand,48,NN
;,48,:
to,48,TO
the,48,DT
left,48,NN
were,48,VBD
the,48,DT
clear,48,JJ
panes,48,NNS
of,48,IN
glass,48,NN
",",48,","
protecting,48,VBG
",",48,","
but,48,CC
not,48,RB
separating,48,VBG
me,48,PRP
from,48,IN
the,48,DT
drear,48,JJ
November,48,NNP
day,48,NN
.,48,.
At,49,IN
intervals,49,NNS
",",49,","
while,49,IN
turning,49,VBG
over,49,RP
the,49,DT
leaves,49,NNS
of,49,IN
my,49,PRP$
book,49,NN
",",49,","
I,49,PRP
studied,49,VBD
the,49,DT
aspect,49,NN
of,49,IN
that,49,DT
winter,49,NN
afternoon,49,NN
.,49,.
Afar,50,NNP
",",50,","
it,50,PRP
offered,50,VBD
a,50,DT
pale,50,JJ
blank,50,NN
of,50,IN
mist,50,NN
and,50,CC
cloud,50,NN
;,50,:
near,50,IN
a,50,DT
scene,50,NN
of,50,IN
wet,50,JJ
lawn,50,NN
and,50,CC
storm-beat,50,JJ
shrub,50,NN
",",50,","
with,50,IN
ceaseless,50,JJ
rain,50,NN
sweeping,50,VBG
away,50,RB
wildly,50,RB
before,50,IN
a,50,DT
long,50,JJ
and,50,CC
lamentable,50,JJ
blast,50,NN
.,50,.
I,51,PRP
returned,51,VBD
to,51,TO
my,51,PRP$
book,51,NN
--,51,:
Bewick,51,NNP
's,51,POS
History,51,NNP
of,51,IN
British,51,JJ
Birds,51,NNS
:,51,:
the,51,DT
letterpress,51,NN
thereof,51,NN
I,51,PRP
cared,51,VBD
little,51,JJ
for,51,IN
",",51,","
generally,51,RB
speaking,51,VBG
;,51,:
and,51,CC
yet,51,RB
there,51,EX
were,51,VBD
certain,51,JJ
introductory,51,JJ
pages,51,NNS
that,51,IN
",",51,","
child,51,NN
as,51,IN
I,51,PRP
was,51,VBD
",",51,","
I,51,PRP
could,51,MD
not,51,RB
pass,51,VB
quite,51,RB
as,51,IN
a,51,DT
blank,51,NN
.,51,.
They,52,PRP
were,52,VBD
those,52,DT
which,52,WDT
treat,52,NN
of,52,IN
the,52,DT
haunts,52,NNS
of,52,IN
sea-fowl,52,NN
;,52,:
of,52,IN
'',52,''
the,52,DT
solitary,52,JJ
rocks,52,NNS
and,52,CC
promontories,52,NNS
'',52,''
by,52,IN
them,52,PRP
only,52,RB
inhabited,52,VBD
;,52,:
of,52,IN
the,52,DT
coast,52,NN
of,52,IN
Norway,52,NNP
",",52,","
studded,52,VBD
with,52,IN
isles,52,NNS
from,52,IN
its,52,PRP$
southern,52,JJ
extremity,52,NN
",",52,","
the,52,DT
Lindeness,52,NNP
",",52,","
or,52,CC
Naze,52,NNP
",",52,","
to,52,TO
the,52,DT
North,52,NNP
Cape,52,NNP
--,52,:
``,52,``
Where,52,WRB
the,52,DT
Northern,52,NNP
Ocean,52,NNP
",",52,","
in,52,IN
vast,52,JJ
whirls,52,NNS
",",52,","
Boils,52,NNP
round,52,VBD
the,52,DT
naked,52,JJ
",",52,","
melancholy,52,JJ
isles,52,NNS
Of,52,IN
farthest,52,JJS
Thule,52,NN
;,52,:
and,52,CC
the,52,DT
Atlantic,52,NNP
surge,52,NN
Pours,52,NNP
in,52,IN
among,52,IN
the,52,DT
stormy,52,NN
Hebrides,52,NNP
.,52,.
'',52,''
Nor,53,CC
could,53,MD
I,53,PRP
pass,53,VBP
unnoticed,53,VBD
the,53,DT
suggestion,53,NN
of,53,IN
the,53,DT
bleak,53,JJ
shores,53,NNS
of,53,IN
Lapland,53,NNP
",",53,","
Siberia,53,NNP
",",53,","
Spitzbergen,53,NNP
",",53,","
Nova,53,NNP
Zembla,53,NNP
",",53,","
Iceland,53,NNP
",",53,","
Greenland,53,NNP
",",53,","
with,53,IN
``,53,``
the,53,DT
vast,53,JJ
sweep,53,NN
of,53,IN
the,53,DT
Arctic,53,NNP
Zone,53,NNP
",",53,","
and,53,CC
those,53,DT
forlorn,53,JJ
regions,53,NNS
of,53,IN
dreary,53,JJ
space,53,NN
",",53,","
--,53,:
that,53,IN
reservoir,53,NN
of,53,IN
frost,53,NN
and,53,CC
snow,53,NN
",",53,","
where,53,WRB
firm,53,NN
fields,53,NNS
of,53,IN
ice,53,NN
",",53,","
the,53,DT
accumulation,53,NN
of,53,IN
centuries,53,NNS
of,53,IN
winters,53,NNS
",",53,","
glazed,53,VBN
in,53,IN
Alpine,53,NNP
heights,53,NNS
above,53,IN
heights,53,NNS
",",53,","
surround,53,VBD
the,53,DT
pole,53,NN
",",53,","
and,53,CC
concentre,53,VBZ
the,53,DT
multiplied,53,JJ
rigours,53,NN
of,53,IN
extreme,53,JJ
cold,53,NN
.,53,.
'',53,''
Of,54,IN
these,54,DT
death-white,54,JJ
